,Year,All Sugar forms,Fruits & Veggiess,"Sweetners, Honey, Dates"
0,1990,274136,169329,3394
1,1991,237782,163328,2954
2,1992,231257,162671,3225
3,1993,235362,153891,3323
4,1994,207899,146089,3674
5,1995,219008,147418,4074
6,1996,220787,155368,4131
7,1997,215434,153602,4380
8,1998,203177,150949,4371
9,1999,209664,157960,4642
10,2000,197566,161786,4931
11,2001,188523,157216,5568
12,2002,207529,159024,5701
13,2003,187643,165761,6187
14,2004,208360,173698,6153
15,2005,213403,170595,6388
16,2006,202384,173997,7770
17,2007,198241,167839,8381
18,2008,180898,171158,7828
19,2009,190284,171577,8048
20,2010,177427,164858,8231
21,2011,224497,171685,8393
22,2012,215820,165326,8381
23,2013,200604,173941,8173
24,2014,231641,158517,17524
