No. of deaths - Malignant neoplasm of lip, oral cavity and pharynx, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;582;;;;;336;20;756;;;;;;;;1395;11;;;;283;;;;;677;;;;312;2104;;;;;;352;;;; 
2015;;525;;586;;;342;17;743;340;93;232;;175;5464;371;1472;7;;2889;184;296;17;25;;;654;166;2793;;296;2174;;501;;146;2325;338;414;;3539;2840 
2014;;510;794;599;132;419;375;9;728;348;93;217;3871;129;5448;374;1460;10;167;2917;191;248;21;27;;;615;110;2675;694;306;2161;;511;643;149;2340;302;377;;3635;2744 
2013;;457;730;595;;462;311;12;718;345;99;204;3840;125;5473;325;1431;4;163;2820;200;254;6;17;;;646;150;2465;696;265;2143;;468;690;152;2459;319;447;58;;2647 
2012;;496;;581;;411;349;16;722;313;111;196;3784;145;5393;333;1536;9;169;2843;182;237;21;19;;;629;144;2376;762;302;2151;;492;645;152;2275;301;444;49;3746;2455 
2011;;480;708;520;131;394;386;15;698;324;86;190;4126;136;5386;278;1494;15;163;2859;200;255;27;16;;;628;153;2239;764;238;2055;;506;;163;2317;308;393;52;3527;2394 
2010;33;481;713;521;;351;326;11;670;342;133;192;4074;60;5020;259;1524;7;127;2745;149;275;13;19;;;609;139;2227;690;253;1976;;523;637;169;2277;287;392;48;3581;2331 
2009;49;454;701;521;;404;377;14;643;314;85;178;3870;76;4982;260;1521;11;127;2687;163;256;20;20;;5;630;117;2186;702;247;1978;;488;616;158;2154;274;363;48;3412;2264 
2008;50;475;685;537;;387;401;8;725;326;97;166;3904;;4946;271;1651;7;123;2755;132;233;16;19;;12;557;121;2168;695;270;1953;;484;592;164;2066;313;355;62;3360;2122 
2007;79;453;704;487;;462;363;9;666;326;80;152;3964;60;4777;264;1581;6;126;2801;164;237;14;18;;12;535;147;2110;640;232;1885;;524;646;151;2204;298;375;54;3376;2148 
2006;71;424;;515;;525;362;7;669;299;77;145;4118;55;4734;289;1585;8;140;2745;136;236;20;18;;18;554;137;1979;;239;1834;;503;598;148;2147;305;379;56;3420;2007 
2005;70;446;;527;;443;384;4;639;322;114;140;4104;74;4819;296;1567;2;136;2701;151;250;13;13;;12;538;143;1886;;266;1745;0;440;596;131;2198;293;392;64;3419;2004 
2004;71;477;;501;;320;372;8;656;283;83;146;4265;83;4444;269;1690;9;124;2804;161;235;30;14;;10;569;138;1872;;222;1743;;445;601;110;2228;307;326;70;3518;2017 
2003;69;473;668;499;;317;406;;644;320;78;166;4262;;4786;251;1760;10;128;2746;159;214;29;9;;11;566;134;1857;609;264;1634;;447;636;131;2201;257;331;46;3633;1892 
2002;56;473;596;478;;341;364;;640;287;107;135;4544;;4699;263;1717;9;124;2860;136;277;30;6;;27;547;151;1762;607;225;1735;0;449;552;147;2224;249;363;44;3621;1997 
2001;45;461;587;513;;371;354;;590;281;119;153;4408;80;4853;232;1737;10;119;2886;133;261;26;12;;16;508;173;1767;585;228;1635;;454;612;179;2186;281;363;53;3480;1974 
2000;45;479;641;487;;289;390;6;590;308;99;149;4643;91;4645;250;1688;3;126;2866;137;246;27;12;;13;533;140;1690;559;220;1488;0;439;557;127;2186;266;366;57;3616;1914 
1999;51;457;607;519;;333;381;4;585;262;86;149;4787;150;4941;228;1618;6;138;2943;140;264;31;22;;;519;155;1685;541;258;1367;2;470;556;134;2172;274;357;62;3500;1982 
1998;48;443;599;566;;378;350;;559;271;101;124;5003;105;4965;224;1624;4;133;2943;138;211;32;16;;;477;160;;535;246;1335;1;419;630;169;2205;272;345;59;3467;2000 
1997;32;375;611;575;;334;401;;563;265;90;140;4922;42;4778;237;1529;7;140;2871;132;215;22;8;;;459;158;;572;235;1285;1;;605;158;2268;241;347;46;3505;1994 
1996;46;410;560;532;;343;345;;586;272;105;150;5158;54;4766;259;1485;8;142;2939;135;212;31;20;;;461;153;1673;506;298;1284;1;;599;158;2073;244;334;57;3527;1956 
1995;43;427;605;552;;328;411;;536;252;108;142;5166;47;4684;217;1419;3;144;2949;134;220;28;12;;;452;152;1760;483;275;1144;0;;578;143;2181;244;305;26;3628;1928 
1994;59;370;556;487;;348;389;;598;265;92;129;5059;68;4803;190;1366;6;134;2985;154;185;24;9;;;421;151;1591;504;279;1160;;;538;156;2212;286;;29;3629;2062 
1993;76;378;556;545;;317;385;;453;;97;135;5332;;4749;217;1421;4;147;3153;131;211;20;16;;;407;128;1648;473;241;1113;;;489;164;2143;270;;39;3559;1889 
1992;77;378;556;445;;323;414;;511;;92;121;5501;102;4660;210;1393;3;116;3048;108;187;30;8;;;428;140;1601;482;246;1071;;;488;145;2109;240;;48;3372;2000 
1991;;353;503;408;173;300;407;;508;;90;126;5390;120;4493;210;1230;3;138;3169;109;185;24;15;;;408;142;1624;443;250;987;;;;158;2126;305;;47;3284;2006 
1990;;398;465;420;99;258;447;;468;;82;105;5537;125;4241;176;1120;3;105;3049;118;165;38;8;;;388;150;1615;449;200;990;;;;143;1900;302;;;3050;1932 
1989;99;348;461;429;113;263;423;;507;;90;125;5522;130;;192;1098;5;131;3185;94;132;32;9;;;396;151;1558;404;202;919;;;;158;1832;259;;;2885;1979 
1988;100;327;387;395;118;288;375;;484;;69;122;5684;115;;181;1023;7;130;3151;97;136;28;13;;;386;141;1469;416;197;907;;;;136;1808;252;;;2671;1936 
1987;71;358;358;364;92;282;366;;471;;69;100;5708;115;;183;985;6;140;3107;99;137;21;13;0;;348;157;1432;418;151;832;;;;167;1751;287;;;2492;1959 
1986;;358;296;329;80;279;339;;412;;66;;5703;133;;184;905;5;117;3194;78;102;19;11;4;;318;122;1382;391;174;860;;;;129;1614;;;;2365;1906 
1985;;326;260;399;71;240;288;;;;60;;5883;78;;189;854;4;142;3142;74;87;13;15;;;322;;1221;374;140;794;;;;161;1444;;;;2013;1959 
1984;;308;;366;;242;;;;;;;5902;;;179;874;4;122;3061;89;;18;11;;;294;;1305;364;;778;;;;;1452;;;;;1995 
1983;;287;;349;;196;;;;;;;6011;;;185;780;6;115;3018;60;;17;11;;;310;;1296;325;;744;;;;;1254;;;;;1902 
1982;;285;251;338;;190;;;;;48;;5836;62;;166;738;9;116;2923;60;93;24;16;;;310;;1213;336;92;674;;;;;1244;;;;1661;1846 
1981;;273;229;327;;171;;;;;38;;5964;31;;160;723;3;115;2795;54;90;24;9;;;278;;1168;356;92;698;;;;;1180;;;;1554;1911 
1980;;224;;311;;162;;;;;;;5859;;;165;699;;114;2902;67;;17;12;;;252;;1168;323;;638;;;;;1069;;;;;1834 
1979;;;;281;;;;;;;;;5608;;;171;593;;110;2691;;;19;14;;;268;;;;;;;;;;;;;;;1914 
