No. of deaths - Malnutrition, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;1;;;;;0;3;207;;;;;;;;12;5;;;;3;;;;;10;;;;1;144;;;;;;97;;;; 
2015;;1;;270;;;0;3;222;11;1;10;;3;447;2;15;2;;581;0;3;11;1;;;17;129;119;;0;99;;6;;1;261;82;84;;37;103 
2014;;1;4;232;1;2;0;0;139;7;0;1;2905;5;269;1;16;1;2;504;2;2;9;1;;;34;95;167;59;0;92;;12;32;0;187;84;56;;37;96 
2013;;0;6;217;;2;0;4;136;19;1;4;2992;8;263;0;16;1;2;483;1;7;11;0;;;57;90;161;70;1;86;;6;28;0;136;68;65;1;;86 
2012;;0;;211;;5;1;1;102;5;1;3;2993;5;211;0;27;0;1;516;1;1;9;1;;;79;102;133;61;0;80;;10;17;0;164;58;52;1;30;88 
2011;;1;4;202;5;5;0;2;78;15;5;5;2594;3;231;0;18;1;3;453;4;3;10;0;;;94;67;85;56;2;81;;21;;0;159;50;38;0;26;83 
2010;2;1;6;174;;8;0;1;50;16;2;2;2807;0;239;0;16;0;8;375;1;0;2;0;;;96;1;71;47;5;68;;5;4;0;158;43;42;1;37;85 
2009;1;0;3;146;;5;0;0;47;21;1;5;2755;0;179;0;16;1;5;367;5;1;3;1;;1;84;0;102;45;3;76;;8;5;0;153;47;27;0;40;103 
2008;5;0;1;137;;10;0;1;53;14;4;3;2656;;192;0;23;2;8;401;4;2;3;0;;0;88;0;69;51;5;33;;14;2;0;142;53;16;0;44;83 
2007;2;2;12;132;;11;2;1;37;29;3;5;2413;0;207;0;17;3;6;458;4;3;4;0;;0;92;0;59;57;7;57;;7;1;1;139;64;25;0;42;96 
2006;8;1;;117;;5;0;1;8;45;4;2;2344;0;200;0;14;3;5;362;1;1;5;0;;1;83;0;71;;4;56;;16;3;0;135;77;17;1;53;98 
2005;10;2;;139;;7;0;0;9;44;1;4;2499;0;202;0;16;1;7;349;4;2;4;0;;0;83;0;58;;5;73;;9;2;0;129;60;14;2;54;78 
2004;3;1;;125;;2;0;0;10;68;5;2;2363;0;141;0;5;2;11;272;2;1;6;0;;0;91;0;74;;2;39;;5;3;0;115;51;19;3;;74 
2003;9;1;11;128;;3;0;;4;52;3;3;2676;;101;0;4;0;9;360;4;2;1;0;;0;98;0;53;86;2;64;;0;2;0;125;54;26;0;;80 
2002;8;0;11;132;;8;0;;7;68;2;3;2477;;79;0;8;1;8;148;1;2;2;0;;0;107;0;83;75;5;46;;2;2;7;144;76;30;1;;85 
2001;7;0;;122;;5;0;;3;31;3;3;2492;0;90;0;11;1;11;133;3;5;1;0;;2;68;1;62;50;6;62;;7;3;4;130;70;26;0;;72 
2000;11;0;;130;;4;0;0;11;48;3;2;2524;0;75;0;7;0;7;126;2;2;1;0;;1;73;0;77;60;6;45;0;6;3;0;138;64;29;1;;56 
1999;35;0;;49;;17;1;0;3;34;6;0;2300;0;73;0;13;2;13;133;1;4;0;0;;;66;0;99;62;15;36;0;1;6;1;131;67;18;2;;60 
1998;32;0;;25;;4;0;;6;11;3;1;2311;0;86;0;9;1;7;137;2;1;0;0;;;51;0;;55;4;54;0;2;8;2;114;52;20;1;;63 
1997;59;0;;53;;19;2;;7;4;9;3;2428;;163;0;11;0;7;115;6;8;4;0;;;22;0;;50;7;63;0;;6;1;127;71;15;2;;60 
1996;54;0;;54;;17;0;;3;9;5;1;2399;;116;1;9;0;4;110;3;0;0;1;;;36;0;62;29;24;62;0;;7;0;94;50;12;3;;65 
1995;64;1;;45;;0;0;;9;4;8;0;2321;;153;1;3;0;1;124;;4;1;0;;;48;0;49;56;12;88;0;;15;1;130;55;14;2;;64 
1994;17;1;;31;;0;1;;8;12;4;1;2131;;98;0;6;0;4;22;;1;1;0;;;92;0;50;37;3;70;;;10;2;93;60;;3;;62 
1993;39;1;;35;;2;1;;2;;;3;2159;;85;1;4;0;5;22;;1;0;0;;;109;0;48;44;3;39;;;4;2;97;74;;2;;84 
1992;28;0;;19;;1;3;;14;;;1;2205;;118;0;4;0;7;10;;;1;1;;;84;2;52;31;1;38;;;4;3;106;63;;6;;94 
1991;;0;;19;0;0;1;;7;;;2;2004;;83;0;2;0;7;11;;;0;1;;;69;2;33;68;4;40;;;;14;110;68;;2;;83 
1990;;1;;17;0;3;0;;13;;;1;1836;;236;0;3;0;8;18;;;0;0;;;53;2;19;47;;52;;;;2;130;35;;;;107 
1989;26;0;;14;0;1;0;;17;;;1;1623;;;0;1;0;5;20;;;2;3;;;34;11;23;57;;35;;;;3;107;45;;;;104 
1988;36;1;;13;0;2;0;;8;;;5;1537;;;0;3;0;3;20;;;2;0;;;41;3;14;59;;34;;;;1;105;51;;;;77 
1987;38;0;;4;1;3;0;;3;;;1;1516;;;0;2;0;6;11;;;0;0;0;;50;6;24;71;;22;;;;1;91;37;;;;57 
1986;;1;;10;1;0;2;;7;;;;1656;;;0;2;1;9;12;;;1;0;0;;54;3;23;77;;29;;;;0;100;;;;;83 
1985;;0;;5;0;0;0;;;;;;1574;;;0;12;0;8;8;;;2;0;;;73;;16;96;;29;;;;2;91;;;;;91 
1984;;0;;24;;2;;;;;;;1539;;;3;3;0;6;3;;;0;0;;;49;;25;132;;32;;;;;74;;;;;90 
1983;;4;;12;;1;;;;;;;1528;;;5;7;0;11;4;;;1;0;;;55;;31;99;;44;;;;;78;;;;;93 
1982;;0;;7;;2;;;;;;;1509;;;1;5;0;8;6;;;3;1;;;43;;19;60;;19;;;;;60;;;;;71 
1981;;1;;12;;2;;;;;;;1740;;;1;3;1;9;14;;;1;0;;;35;;25;108;;26;;;;;63;;;;;103 
1980;;1;;25;;3;;;;;;;1714;;;1;5;;10;2;;;6;0;;;19;;23;66;;21;;;;;55;;;;;88 
1979;;;;22;;;;;;;;;1874;;;0;3;;8;1;;;3;1;;;17;;;;;;;;;;;;;;;75 
