,Country,Commods
6,Australia,466
17,Canada,254
19,China,214
13,Brazil,173
45,Kazakhstan,161
101,United States,153
74,Russian Federation,148
37,India,105
86,Sweden,88
57,Mongolia,81
103,Uzbekistan,78
47,Kyrgyzstan,70
67,Norway,59
53,Malaysia,58
90,Tajikistan,56
38,Indonesia,52
105,Vietnam,49
26,Finland,47
60,Mozambique,46
4,Argentina,39
63,New Zealand,38
84,Sri Lanka,35
92,Thailand,34
33,Greenland,34
82,South Korea,29
32,Greece,23
8,Bangladesh,22
95,Turkey,21
81,South Africa,20
44,Japan,17
27,France,17
62,Namibia,17
52,Malawi,16
98,Ukraine,16
39,Iran,16
75,Saudi Arabia,15
42,Italy,15
56,Mexico,14
51,Madagascar,14
14,Burundi,13
100,United Kingdom,12
7,Austria,12
89,Taiwan,11
2,Angola,11
69,Peru,11
73,Romania,11
61,Myanmar,11
25,Egypt,11
102,Uruguay,10
79,Slovakia,10
91,Tanzania,10
106,Zambia,9
59,Morocco,9
30,Germany,8
70,Philippines,8
107,Zimbabwe,7
23,Democratic Republic of the Congo,7
104,Venezuela,6
10,Bolivia,6
5,Armenia,6
55,Mauritania,5
46,Kenya,5
43,Jamaica,5
83,Spain,5
22,Czech Republic,5
65,Nigeria,5
54,Mali,4
66,North Korea,3
48,Laos,3
97,Uganda,3
36,Hungary,3
0,Afghanistan,3
71,Poland,3
72,Portugal,2
34,Guinea,2
3,Antarctica,2
9,Belgium,2
12,Botswana,2
15,Cabo Verde,2
16,Cameroon,2
99,United Arab Emirates,2
64,Niger,2
96,Turkmenistan,2
21,Colombia,2
1,Algeria,2
68,Paraguay,2
87,Switzerland,2
50,Libya,2
77,Serbia,2
40,Iraq,2
80,Somalia,2
85,Suriname,1
20,China ,1
49,Liberia,1
11,Bosnia and Herzegovina,1
76,Senegal,1
78,Sierra Leone,1
18,Chile,1
41,Ireland,1
88,Syria,1
58,Montenegro,1
94,Tunisia,1
93,Togo,1
24,Denmark,1
28,French Guiana,1
35,Guyana,1
31,Ghana,1
29,Gabon,1
